wdnet_id name
n02165456 ladybug
n04251144 snorkel
n02950826 cannon
n03854065 organ
n07613480 trifle
n02129165 lion
n13133613 ear
n03220513 dome
n03888605 parallel_bars
n03337140 file
n04067472 reel
n07747607 orange
n03773504 missile
n01855672 goose
n03127925 crate
n04612504 yawl
n03476684 hair_slide
n03047690 clog
n04509417 unicycle
n04243546 slot
n03146219 cuirass
n04146614 school_bus
n13054560 bolete
n03584254 ipod
n02795169 barrel
n02110341 dalmatian
n04275548 spider_web
n03017168 chime
n01981276 king_crab
n02457408 three-toed_sloth
n03676483 lipstick
n01910747 jellyfish
n04389033 tank
n04296562 stage
n03838899 oboe
n09256479 coral_reef
